url,local_path,http_status,content_type,bytes
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/CDF-ADVERTS-EXTENSION.pdf,data\raw\pdfs\CDF-ADVERTS-EXTENSION.pdf,200,application/pdf,971741
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/SECONDARY-BOARDING-SCHOOL-BURSARY-APPLICATION-FORM.pdf,data\raw\pdfs\SECONDARY-BOARDING-SCHOOL-BURSARY-APPLICATION-FORM.pdf,200,application/pdf,247968
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/loan-Agreement.pdf,data\raw\pdfs\loan-Agreement.pdf,200,application/pdf,1611234
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/10/LUANSHYA-DISTRICT-2025-VR-DEPLOYMENT-PLAN-FINAL-DRAFT.pdf,data\raw\pdfs\LUANSHYA-DISTRICT-2025-VR-DEPLOYMENT-PLAN-FINAL-DRAFT.pdf,200,application/pdf,121369
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/2024-Audit-Opinion.pdf,data\raw\pdfs\2024-Audit-Opinion.pdf,200,application/pdf,786265
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/2024-Business-Stakeholder-Engagement.pdf,data\raw\pdfs\2024-Business-Stakeholder-Engagement.pdf,200,application/pdf,16103696
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/LMC-2024-Financial-Statement.pdf,data\raw\pdfs\LMC-2024-Financial-Statement.pdf,200,application/pdf,9077284
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/MINUTES_OF_THE_2024_STAKEHOLDER_ENGAGEMENT_ON_CDF_REVIEW1.pdf,data\raw\pdfs\MINUTES_OF_THE_2024_STAKEHOLDER_ENGAGEMENT_ON_CDF_REVIEW1.pdf,200,application/pdf,35136922
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2024-Budget-Stakeholders-Minutes-17122025.pdf,data\raw\pdfs\2024-Budget-Stakeholders-Minutes-17122025.pdf,200,application/pdf,3612973
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2024-Business-Stakeholder-Engagement-Plan.pdf,data\raw\pdfs\2024-Business-Stakeholder-Engagement-Plan.pdf,200,application/pdf,4048435
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Approved-Community-Projects.pdf,data\raw\pdfs\2025-Approved-Community-Projects.pdf,200,application/pdf,2291938
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Not-Approved-Community-Projects.pdf,data\raw\pdfs\2025-Not-Approved-Community-Projects.pdf,200,application/pdf,5546055
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Proposed-Community-Projects.pdf,data\raw\pdfs\2025-Proposed-Community-Projects.pdf,200,application/pdf,7391961
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Public-Notice-Stakeholder-Engagement.pdf,data\raw\pdfs\2025-Public-Notice-Stakeholder-Engagement.pdf,200,application/pdf,504806
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-LUANSHYA-CONSTITUENCY.pdf,data\raw\pdfs\2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-LUANSHYA-CONSTITUENCY.pdf,200,application/pdf,6255270
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-ROAN-CONSTITUENCY.-.pdf,data\raw\pdfs\2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-ROAN-CONSTITUENCY.-.pdf,200,application/pdf,6412907
